page_id	status_id	link_name	status_published	num_reactions
Upworthy	354522044588660_1359717567402431		2016-08-12 21:22:00	715
Upworthy	354522044588660_1362032803837574	Biologists created a new way of playing Pokémon Go.	2016-08-12 20:43:00	150
Upworthy	354522044588660_1363616543679200		2016-08-12 20:01:00	5120
Upworthy	354522044588660_1362197853821069		2016-08-12 18:41:00	5434
Upworthy	354522044588660_1363427353698119	Meet the teens leading an unprecedented lawsuit against the U.S. government.	2016-08-12 17:50:00	812
Upworthy	354522044588660_1360717250635796		2016-08-12 17:02:00	4942
Upworthy	354522044588660_1362544023786452	Upworthy Video	2016-08-12 15:35:00	1615
Upworthy	354522044588660_1360849993955855		2016-08-12 13:21:00	405
Upworthy	354522044588660_1359697940737727		2016-08-12 12:15:00	5394
Upworthy	354522044588660_1363306170376904	Natalie Maines of the Dixie Chicks has an important question about Donald Trump.	2016-08-12 11:42:51	9394
Upworthy	354522044588660_1362125387161649		2016-08-12 10:31:00	5171
Upworthy	354522044588660_1359613804079474		2016-08-12 09:01:00	5732
Upworthy	354522044588660_1362417417132446	From winemakers to neurosurgeons, these 15 former NFL players got a second chance and a new career.	2016-08-12 07:40:00	294
Upworthy	354522044588660_1360938007280387	Upworthy Video	2016-08-11 22:40:00	401
Upworthy	354522044588660_1360753407298847		2016-08-11 21:22:01	764
Upworthy	354522044588660_1362454800462041	Scotland has the largest oil reserve in the E.U. They just proved they don't need it.	2016-08-11 20:41:00	10526
Upworthy	354522044588660_1360708540636667		2016-08-11 20:02:00	3855
Upworthy	354522044588660_1359551094085745		2016-08-11 18:43:00	6405
Upworthy	354522044588660_1359543860753135		2016-08-11 16:46:00	2213
Upworthy	354522044588660_1360580160649505	Own too many jeans to count? You're not alone. Here's how to give old jeans a second life.	2016-08-11 14:51:00	209
Upworthy	354522044588660_1360692087304979		2016-08-11 14:10:00	11827
Upworthy	354522044588660_1361999567174231	Real-life couple Rhea Butcher and Cameron Esposito make a perfect pair in 'Take My Wife.'	2016-08-11 13:30:00	713
Upworthy	354522044588660_1360776990629822		2016-08-11 12:50:00	6354
Upworthy	354522044588660_1362145030493018	Her son was murdered in 1993. Today, she's helping his killer rebuild his life.	2016-08-11 12:14:41	1288
Upworthy	354522044588660_1361946587179529	Robin Williams' advice for people who are depressed is really touching and important.	2016-08-11 11:12:04	10561
Upworthy	354522044588660_1358564817517706		2016-08-11 10:31:00	10344
Upworthy	354522044588660_1361991013841753	Trans model stuns in dress made from flags of countries where being LGBTQ is illegal.	2016-08-11 09:54:19	11673
Upworthy	354522044588660_1358560884184766		2016-08-11 09:01:00	25033
Upworthy	354522044588660_1360855287288659	7 older adults share the life lessons they'd give to their younger selves.	2016-08-11 08:21:00	2043
Upworthy	354522044588660_1359653340742187	Upworthy Video	2016-08-10 22:40:01	1129
Upworthy	354522044588660_1361192407254947	I'm A Pro-Choice Republican, And My Story Could Be Yours	2016-08-10 22:01:00	2280
Upworthy	354522044588660_1358483787525809		2016-08-10 21:20:00	8286
Upworthy	354522044588660_1358430017531186		2016-08-10 20:03:00	5561
Upworthy	354522044588660_1358416114199243		2016-08-10 18:40:22	9109
Upworthy	354522044588660_1360899753950879	The Filipino divers everyone is making fun of are actually total class acts.	2016-08-10 17:50:01	21207
Upworthy	354522044588660_1358400337534154		2016-08-10 17:02:00	43683
Upworthy	354522044588660_1359652337408954	Upworthy Video	2016-08-10 15:35:00	746
Upworthy	354522044588660_1360874627286725	Why it matters Nike is putting trans athlete Chris Mosier front and center in this new ad.	2016-08-10 14:41:01	17759
Upworthy	354522044588660_1358387844202070		2016-08-10 13:22:00	21894
Upworthy	354522044588660_1360824653958389	A woman's hilarious photo shoot with her 'job offer' has gone viral. It's incredible.	2016-08-10 12:41:00	18126
Upworthy	354522044588660_1358603127513875		2016-08-10 12:01:00	7143
Upworthy	354522044588660_1359774784063376	The Spooners are a definite example of 'relationship goals' — and the power of love.	2016-08-10 11:10:00	8212
Upworthy	354522044588660_1358372994203555		2016-08-10 10:31:00	9578
Upworthy	354522044588660_1359821474058707	24 relationship comics that illustrate the beauty in the mundane moments.	2016-08-10 09:50:01	5450
Upworthy	354522044588660_1358366897537498		2016-08-10 09:01:00	17835
Upworthy	354522044588660_1359808764059978	Someone told this mom she should stick to one-piece bathing suits. She wasn't having it.	2016-08-10 08:20:00	3324
Upworthy	354522044588660_1359824884058366	One little change in how you talk to your kids can help them be more successful.	2016-08-10 07:40:00	6886
Upworthy	354522044588660_1358344227539765		2016-08-09 21:21:00	14434
Upworthy	354522044588660_1358332840874237		2016-08-09 20:02:00	21367
